CH1;CH2;PPG
146.44687;127.83282;586.8125
146.45163;127.8439;586.8066
146.45268;127.84743;586.80676
146.4499;127.84479;586.80676
146.45038;127.84453;586.79987
146.44843;127.83484;586.7961
146.4406;127.83029;586.7958
146.43709;127.83542;586.7907
146.44568;127.84776;586.78827
146.45352;127.860146;586.7866
146.45848;127.86798;586.7828
146.46098;127.872154;586.78015
146.46248;127.8722;586.77783
146.46391;127.86786;586.7735
146.45988;127.857994;586.7741
146.45851;127.84782;586.77203
146.45648;127.84288;586.76917
146.4453;127.84048;586.7682
146.44385;127.84092;586.7736
146.4388;127.835846;586.7677
146.43288;127.83694;586.761
146.42831;127.84454;586.75934
146.4258;127.842354;586.7601
146.42363;127.834366;586.7604
146.42754;127.826065;586.75446
146.43636;127.83322;586.75
146.44632;127.84407;586.7475
146.44714;127.84335;586.7426
146.45279;127.85528;586.7406
146.46043;127.86135;586.7422
146.45987;127.85558;586.7415
146.45306;127.84957;586.74005
146.44781;127.84736;586.737
146.4452;127.84872;586.7351
146.44412;127.8518;586.7283
146.44394;127.85234;586.7237
146.43846;127.844955;586.72327
146.43407;127.83973;586.7193
146.43173;127.83615;586.7164
146.42445;127.82859;586.71466
146.4186;127.82211;586.7149
146.41226;127.817314;586.7173
146.4066;127.8197;586.7134
146.40791;127.82297;586.7137
146.40594;127.80888;586.7141
146.39935;127.798935;586.70856
146.39891;127.80194;586.70526
146.39374;127.79724;586.7073
146.39009;127.79662;586.70917
146.38881;127.796165;586.7079
146.39207;127.799194;586.701
146.399;127.80399;586.69684
146.39601;127.80313;586.6974
146.39163;127.80248;586.6965
146.39304;127.80473;586.6946
146.38881;127.799416;586.6956
146.3838;127.79271;586.6937
146.38622;127.79138;586.69275
146.38383;127.78644;586.6912
146.37697;127.78439;586.6823
146.37296;127.78225;586.6759
146.36133;127.77188;586.67395
146.36198;127.775475;586.67236
146.36111;127.77614;586.67114
146.36014;127.7703;586.6679
146.36183;127.76982;586.6654
146.36615;127.77331;586.6631
146.36545;127.77598;586.6619
146.36684;127.77948;586.6604
146.36726;127.78556;586.6568
146.36853;127.78732;586.65314
146.37354;127.79477;586.6496
146.37808;127.79843;586.6459
146.37692;127.79676;586.6458
146.37865;127.79311;586.6447
146.38112;127.79562;586.64233
146.37875;127.79462;586.6411
146.37671;127.79043;586.6386
146.37956;127.798836;586.6351
146.37434;127.80332;586.6344
146.37401;127.80258;586.6319
146.36755;127.802826;586.628
146.34813;127.79672;586.6259
